O_MARKET_0,O_MGTSUP_1,O_BENEF_2,O_INNO_3,O_PROAC_4,O_FIN_5,O_EXPERT_6,O_PROC_7,T_COST_1,T_RISK_2,T_COMPAT_3,T_COMPLEX_4,T_TRIAL_5,T_OBSERV_6,E_FINSUP_1,E_GOV_2,E_VENDOR_3,E_COMPRES_4,E_INFRA_5,E_ENV_6,COMM,PURINV,ORSALE,MARKET,CUST,FINMAN,HRM,PROD,IEM,OPERATION_1,OPERATION_2,OPERATION_3,OPERATION_4,TACMAN_1,TACMAN_2,TACMAN_3,STRAT_1,STRAT_2,STRAT_3,STRAT_4
2,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,3,3,5,3,3,5,5,4,5,4,4,4,5,4,5,5
2,4,5,4,4,2,4,4,4,1,1,4,1,4,4,4,4,3,4,4,4,5,4,4,4,1,1,4,1,5,5,4,5,4,4,4,5,4,5,5
2,4,4,3,4,4,3,4,4,4,3,4,3,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,4,3,5,5,5,5,4,4,3,4,4
2,4,4,4,4,4,4,5,4,5,4,4,5,5,4,4,5,4,4,4,4,3,4,4,3,5,4,5,4,4,4,5,4,5,5,4,5,5,4,4
2,4,5,5,4,4,3,4,3,4,4,4,3,5,4,4,4,4,4,4,5,4,4,5,4,3,3,4,5,4,5,5,5,5,5,4,4,4,5,5
2,3,3,4,3,4,4,4,3,4,4,4,3,4,4,3,4,4,4,4,3,3,3,3,4,3,4,4,3,4,4,4,3,4,4,4,3,4,4,4
1,3,3,2,2,2,1,1,3,3,2,3,3,2,3,2,3,3,3,2,4,3,3,2,3,3,2,3,3,3,3,2,3,3,4,3,3,2,3,3
3,3,4,4,3,3,3,3,2,4,2,3,3,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,4,4,4,3,3,4,4,4,4,3
1,5,5,3,4,5,5,3,3,4,4,4,2,4,5,4,5,2,5,5,5,5,5,1,1,1,1,1,1,5,4,4,4,4,4,4,4,4,4,5
2,4,5,5,4,4,3,4,3,4,4,4,4,3,5,3,4,4,4,4,5,4,4,5,4,3,3,4,5,4,5,5,5,5,4,5,5,4,5,5
4,3,4,3,3,3,4,3,4,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,4,4,3,3,3,4,4,4,4,4,4,4,4,4,4,4
2,1,1,2,1,4,2,2,4,3,2,2,2,2,2,2,2,2,2,2,5,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,2,1,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,1,2,1,2,2,2,2,2,2,3,3,2,2,2,3,2,2
2,3,4,4,4,4,4,3,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,3,4,3
4,4,4,2,3,4,3,4,4,2,4,4,4,4,2,4,4,4,4,4,4,4,4,4,5,4,3,4,3,4,4,2,4,4,4,3,4,3,4,4
3,4,4,4,4,4,5,4,4,4,5,4,5,4,3,4,3,5,3,4,4,3,4,4,5,4,4,5,3,4,3,4,4,5,3,4,4,5,4,4
4,4,4,4,3,3,4,4,5,4,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,4,4,3,4,5,4,4,4,4,4,4,3,4,5
4,5,5,3,3,4,5,5,5,5,5,5,5,5,4,4,4,4,3,5,5,5,5,5,5,4,4,4,4,5,5,4,5,5,5,5,5,4,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,3,2,4,4,3,3,2,4,4,4,4,3,3,3,3,4,3,4,4,4,4,4,2,3,3,2,4,4,3,4,4,4,4,4,3,4,4
2,5,5,4,4,5,4,4,5,4,3,5,5,3,4,3,3,5,5,3,5,4,4,3,3,5,3,4,5,5,5,4,4,5,5,3,3,5,5,5
2,4,4,3,3,3,3,4,4,3,3,4,4,4,4,3,3,3,4,5,5,4,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,3
1,5,5,5,3,3,5,4,5,3,4,3,5,4,4,3,4,5,4,4,5,5,5,4,5,4,3,4,5,5,5,3,5,3,1,3,3,2,3,5
2,3,4,3,2,3,4,3,1,3,4,3,3,3,4,3,3,3,3,4,4,4,4,4,4,3,2,3,3,4,3,3,4,3,3,3,3,2,2,3
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,5,5,4,5,4,5,4,4,2,3,3,3,3,3,3,3,3,3
4,5,5,5,5,4,5,4,3,1,5,4,5,4,2,2,2,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,5,5
4,2,5,3,3,1,4,5,1,2,3,4,4,4,3,2,4,4,5,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
2,3,3,3,3,2,3,3,3,3,4,3,3,3,4,3,3,3,3,3,3,3,4,3,3,3,3,4,3,3,3,4,3,3,3,3,3,2,3,3
4,3,4,3,5,4,4,4,4,3,5,5,4,4,4,5,5,3,4,4,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4
4,4,4,3,4,4,3,4,4,4,5,4,3,4,4,4,4,4,4,4,5,4,4,5,5,3,4,4,4,5,4,4,5,4,5,4,4,5,4,4
2,2,2,1,2,2,2,2,1,2,2,2,2,1,2,2,2,2,2,3,2,2,3,2,1,2,1,1,1,2,2,2,2,2,1,2,2,2,2,1
1,3,2,3,2,3,3,3,2,2,3,2,2,3,2,2,2,2,1,2,2,2,2,3,3,3,2,3,3,2,3,2,1,3,3,3,2,2,3,2
4,4,3,5,4,4,3,4,5,4,4,4,4,5,4,4,3,4,4,5,5,4,5,5,5,4,4,4,4,5,4,5,5,5,5,4,5,4,4,4
4,3,5,3,4,3,5,3,3,4,4,5,4,3,3,4,4,4,4,4,5,3,4,3,4,4,3,5,4,5,4,4,4,4,4,4,4,5,4,4
4,5,5,3,4,2,3,3,3,3,3,3,4,3,3,3,3,5,5,5,3,3,3,3,3,2,1,4,1,5,5,5,5,4,5,5,5,5,5,5
1,2,2,3,2,3,2,1,1,2,2,2,2,3,2,3,2,3,2,3,2,2,3,2,2,3,2,3,3,2,2,2,2,3,2,3,2,2,2,2
4,5,5,5,5,1,5,5,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,5,5,5,4,4,5,5,5,3,5,5,5,5,5,5,5,5,2,4,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,4,5,5,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,5,5,5
2,5,4,5,4,4,5,5,5,4,5,4,4,4,4,5,4,3,4,5,4,3,4,4,4,5,5,4,3,4,3,3,4,4,5,5,4,5,4,4
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,2,2,2,2,3,4,2,4,4,4,3,4,3,4,4
2,4,4,4,5,4,4,4,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,3,5,5,4,5,5,4,4,5,4,5,4
4,5,5,5,3,2,5,1,1,2,5,5,4,4,3,3,3,3,3,2,4,3,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4
4,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,4,4,4,4,4,5,5,4,4,4,4,4,4
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
1,5,5,3,3,3,4,5,1,2,4,4,3,5,3,4,4,3,3,4,4,4,3,5,3,3,4,3,3,4,4,4,3,3,4,4,4,4,4,4
2,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,4,4,5,5,1,1,1,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4,4,4
1,4,4,4,1,4,4,4,4,4,4,4,4,4,4,4,2,4,4,4,4,2,2,4,4,4,4,2,3,4,2,4,4,4,4,4,4,2,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,3,4,2,5,5,5,5,5,5,5,5,5,5,4,4,5,5,4,4,5,4,5,5
4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,5,4,3,5,3,2,2,1,5,4,3,4,5,2,2,3,3,3,3,3,3,4,5,5,4,5,5,4,5,4,5,5,5,5,5,3,5,5,5
2,4,4,4,3,1,4,4,3,4,3,3,4,4,4,1,4,4,4,3,5,5,5,5,5,5,5,1,1,3,3,3,3,3,3,3,3,1,3,3
4,4,4,4,3,4,4,4,3,4,4,4,4,4,2,3,3,3,4,4,4,4,4,4,4,4,3,3,3,4,4,4,4,3,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,3,3,4,4,4,4,4,4,3,3,2,2,2,2,3,3,3,4,3,4,4,4,4,4,4,4,4,4
2,4,4,5,4,4,5,4,5,5,5,5,5,4,5,5,5,4,5,4,3,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,4,3,4,4
2,4,4,5,4,4,5,4,5,5,5,5,5,4,5,5,5,4,5,4,3,4,4,4,3,4,4,4,3,4,3,4,3,4,4,4,4,3,4,4
4,4,5,4,4,4,5,4,4,4,5,3,4,4,5,4,4,5,5,4,4,4,4,5,4,3,3,4,4,5,4,3,4,4,4,4,4,5,4,4
2,4,4,5,4,4,5,4,4,5,4,4,5,4,4,5,4,5,4,4,5,4,4,4,4,5,4,4,4,5,4,4,5,4,4,4,5,4,4,4
3,5,5,5,5,4,5,5,4,4,5,5,5,5,3,3,3,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,4,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
3,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,4,5,5,4,3,3,5,5,5,4,4,5,5,5,5,5,4,4,4,4,4,5,5,5,5,3,3,4,5,5,5,5,4,5,5,4,4,5,5
2,4,4,3,3,4,3,3,4,3,3,4,3,4,4,4,3,3,4,4,4,3,4,4,4,4,4,4,3,4,3,3,3,3,3,3,3,3,3,3
2,3,5,3,3,2,5,3,1,1,4,4,5,4,3,4,3,2,1,4,5,4,4,4,4,3,3,3,4,4,3,4,4,4,3,3,3,3,5,3
1,4,4,3,4,4,4,3,4,4,4,4,3,4,3,4,4,4,5,3,5,4,4,4,4,3,5,5,3,4,4,5,5,5,5,5,4,4,5,5
1,3,5,4,3,3,4,4,4,4,4,4,3,3,2,4,3,4,4,3,5,4,4,4,4,4,4,5,3,4,4,4,3,4,3,4,4,4,4,4
1,4,4,3,3,3,4,3,4,4,4,4,4,4,3,3,3,4,4,3,5,3,5,5,5,4,4,4,5,3,3,4,5,5,3,4,3,4,5,4
2,3,4,3,3,3,2,3,4,2,2,2,2,2,3,2,4,4,3,4,3,3,5,4,1,3,2,5,3,4,4,4,4,5,3,4,4,3,5,4
2,5,4,3,3,3,3,3,4,2,5,5,3,3,3,3,1,4,2,3,5,4,5,5,5,5,5,5,3,5,5,3,5,5,4,4,3,2,5,3
2,4,4,3,3,4,3,3,4,3,3,4,3,4,4,4,3,3,4,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
1,4,5,3,3,3,3,3,4,2,4,5,5,4,4,4,4,4,4,4,2,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
1,3,4,4,4,3,4,4,3,4,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,5,5,5,5,4,5,3,3,4,4,4,4,4,1,2,2,2,3,4,4,4,4,5,5,5,5,5,4,4,4,5,5,5,5,5,4,3,4,4
2,4,4,4,3,3,3,4,3,4,3,3,4,4,4,4,4,4,4,4,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,4,4,3,4,3,4,5,2,2,4,3,5,4,4,4,4,4,4,3,3,4,4,4,4,3,3,3,4,5,5,3,5,4,3,3,5,3,5,5
1,3,4,3,3,2,3,3,2,4,2,3,3,3,3,3,3,3,4,3,2,2,2,2,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4
2,3,2,3,4,4,4,4,3,2,3,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,3,4,4,4,3,4,4,4,4,4
3,3,4,3,1,1,4,2,4,5,5,5,4,3,4,4,3,3,2,2,4,4,3,4,5,2,2,3,5,5,4,5,4,4,3,4,4,5,2,5
4,4,5,5,4,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,5,3,3,3,3,5,5,5,5,5,3,3,4,4,4,4
2,5,4,5,4,4,4,3,4,1,4,4,4,3,5,5,5,4,4,4,4,4,4,4,4,4,4,4,3,4,4,5,5,5,5,4,5,5,5,5
3,5,4,4,4,4,4,5,4,4,4,5,4,4,4,4,4,5,4,5,5,5,5,5,5,5,5,5,5,3,3,3,5,5,3,3,3,3,3,3
2,4,4,4,4,3,3,3,4,4,3,3,3,3,4,3,3,4,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,4,3,3,3,3,3,3
3,4,3,2,2,2,2,2,2,2,2,2,2,2,3,2,2,2,3,2,2,1,2,2,1,1,1,1,1,3,3,3,4,4,4,4,4,4,4,4
2,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,4,5,4,5,4,4,4,4,4,4,4
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,2,4,3,3,4,3,4,3,4,3,4,3,4,3,3,4,4,4,4,4,4,4,4
2,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,4,5,4,3,4,3,2,4,3,4,5,4,4,5,5,5,5,4,4,4,5,5,4,4,4,3,4,4,5,5,4,4,4,4,3,4,4,3,3
4,4,5,4,4,4,4,4,3,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
2,2,2,2,2,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,4,4,4,4,4
3,5,5,3,4,4,4,5,5,5,5,5,4,4,3,3,3,4,4,4,5,4,3,5,5,5,5,5,3,4,5,4,5,5,5,5,5,2,4,5
2,4,4,3,4,3,3,4,4,3,3,3,4,4,2,2,2,3,4,4,4,3,3,4,4,2,2,4,3,4,4,3,4,3,3,3,4,4,4,4
3,3,4,3,3,2,4,3,4,3,4,3,4,4,3,3,3,4,4,4,4,3,4,4,4,2,2,3,2,3,3,2,4,2,2,2,2,3,3,4
1,4,4,4,2,4,4,3,4,4,4,4,4,4,3,3,3,3,3,3,4,4,3,3,3,3,3,3,3,4,3,3,4,4,4,4,4,3,4,4
1,3,4,5,4,3,3,4,5,3,4,5,3,4,5,3,4,5,3,4,3,3,3,4,5,3,4,5,3,3,4,5,3,4,5,3,4,5,3,4
3,3,4,3,3,2,4,4,3,3,3,4,4,4,4,3,3,3,3,3,3,3,3,4,4,3,2,3,4,4,4,3,4,4,4,4,4,4,4,4
3,4,4,4,2,4,4,2,4,4,4,4,4,4,2,2,4,4,2,4,4,2,4,4,4,2,4,2,4,3,4,4,4,3,4,2,4,4,4,2
1,4,4,5,2,2,2,2,1,1,1,1,2,1,5,5,5,4,4,5,1,1,1,1,1,1,1,1,1,3,3,2,4,4,5,5,4,3,5,5
1,1,2,1,2,1,2,1,2,1,1,2,1,2,1,1,1,1,5,5,5,5,4,5,4,4,4,4,5,5,5,5,4,4,5,4,4,4,5,4
3,3,4,3,2,2,4,2,2,3,3,2,2,2,1,1,1,1,4,3,4,4,4,2,2,1,1,1,1,4,4,3,3,2,2,3,3,3,3,3
1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3
2,2,5,2,2,2,2,5,2,2,4,2,2,2,1,4,1,1,4,2,3,2,3,4,4,3,3,2,2,3,3,2,4,3,3,3,2,3,3,3
4,2,1,1,2,1,1,2,1,1,2,2,2,1,1,2,2,2,2,1,2,2,1,2,2,2,2,1,2,2,2,3,2,2,2,2,2,2,2,3
4,5,5,4,3,3,4,4,4,4,4,4,3,4,5,5,5,5,4,5,5,3,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,5,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,3,4,4,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
2,5,5,5,5,3,3,4,3,1,4,4,4,4,5,2,5,5,2,5,5,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,3,5,5
5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,5,5,4,4,4,4,5,5,4,4,4,4,4,4,4,4,4,5,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4,4,4,4,5,5,5
2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,5,4,4,4,4,3,4,4,4,3,3,3,4,4,4,3,3,4
5,5,4,5,3,3,5,5,5,5,5,5,5,5,5,5,5,2,2,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,3,3,3,4,3,3,3,4,3,3,4,4,3,3,3,3,3,1,3,4,3,3,3,3,3,3,3,3,3,3,4,4,3,3,3,3,3,3,4
3,3,4,2,3,3,3,1,3,3,3,4,4,4,3,3,3,3,2,2,4,4,4,4,4,3,3,2,2,4,4,3,4,4,4,3,4,3,4,4
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,1,4,4,4,4,4,4,5,4,4,5,4,4,4,4
1,3,3,3,3,3,3,4,2,3,3,3,3,3,3,3,3,3,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
2,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
1,3,3,3,3,3,3,4,2,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,2,2,2,2,2,3,2,2,2,2,2,2,2,2,2
1,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,4,2,4,3
4,5,5,2,1,3,5,1,1,1,3,3,3,3,1,1,1,1,1,1,5,5,5,5,4,1,1,1,1,5,3,1,5,3,2,1,3,1,1,1
4,4,4,3,4,5,5,5,4,5,4,5,5,4,4,4,5,4,5,4,4,5,4,4,4,4,5,5,4,5,5,5,5,5,4,4,5,5,5,4
1,3,4,3,3,3,3,4,3,3,3,4,4,3,3,3,3,3,3,3,3,3,2,3,3,3,2,3,3,3,3,2,3,3,2,4,4,4,4,4
1,4,4,3,3,3,4,4,3,3,3,4,4,4,3,3,3,3,3,4,5,5,5,5,4,5,5,5,4,4,3,3,3,4,4,4,4,3,3,3
1,4,4,4,4,3,3,3,3,3,3,4,5,5,5,3,3,3,3,4,3,4,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,3,4,4
1,4,3,3,4,4,4,4,3,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,3,4,4,4,4,4,4,4,4
2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,5,5,5,5,5,5,4,3,3,3,3,4,4,4,4,4,4,4,5,5,4,5,4,3,3,4,4,5,5,4,3,4,3,3,4,4,4,3
5,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,5,5,5,4,5,5,5,1,1,4,5,5,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
1,4,5,4,3,4,5,4,3,4,5,3,2,3,4,5,5,4,4,3,1,2,3,4,5,4,2,1,2,3,4,5,5,4,3,4,4,3,4,3
1,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,4,4,4,3,3,4,5,4,4,3,3,4,3,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,3,3,3,3,3,3,3,3,3,3,3
2,5,5,5,4,3,3,5,3,1,3,4,4,4,4,4,4,4,4,4,5,5,5,5,5,3,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,5,5,3,4,3,2,5,3,2,3,4,4,4,2,1,1,1,1,1,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
2,4,4,4,3,4,4,4,3,2,4,4,4,4,4,3,3,3,4,4,4,4,4,4,4,3,3,3,3,4,4,3,4,3,4,4,4,4,4,4
1,5,4,1,1,1,2,1,1,1,4,1,2,5,1,1,4,4,5,4,1,5,2,2,1,2,4,4,4,1,1,1,2,1,1,1,1,1,1,2
2,5,4,4,3,3,4,5,4,5,4,5,5,4,4,4,4,5,5,4,3,3,3,4,5,5,5,5,5,4,5,5,4,4,5,5,5,4,4,5
1,4,4,4,4,3,3,3,2,2,3,2,3,3,3,4,3,2,4,5,4,4,3,4,3,3,3,4,3,3,2,3,4,3,3,3,4,2,4,3
2,5,5,5,4,4,5,4,5,5,4,4,4,4,3,4,4,4,4,4,3,3,4,3,3,4,4,4,4,4,4,4,4,4,4,4,4,5,4,4
4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
4,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4
2,3,3,3,4,4,4,4,4,4,3,4,3,4,4,4,4,4,4,4,5,5,4,4,5,5,4,5,5,4,4,4,5,4,4,4,5,4,4,4
2,5,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,4,5,5,5,4,4,5,5,5,4,5,5,4,5,4,5,4,5,5
2,5,4,5,4,5,4,5,4,5,4,5,5,4,5,4,4,5,4,5,5,4,5,5,4,5,5,5,4,5,4,5,4,5,4,5,5,4,5,5
4,5,4,5,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,4,4,5,4,5
1,2,2,2,2,2,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
2,5,4,5,4,5,4,5,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,5,4,5,5,4,5,4,5,5,4,5
2,5,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5
2,5,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,4,5,4,5,4,5,5,4,5,5,5,5,5,4,5,4,5,4,5,4,5,4,5
3,5,4,5,4,5,4,5,4,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,4,5,5,4,5,4,5,5,4,5,5,4,5,5,4
2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3
2,5,4,5,4,4,5,4,4,3,4,4,4,5,4,3,3,4,4,3,4,5,4,4,5,4,4,3,4,4,5,4,4,5,4,4,4,5,3,4
2,5,4,5,4,5,4,5,4,5,4,5,5,4,5,5,4,5,5,4,5,4,4,4,4,5,5,4,5,5,5,5,5,4,5,4,5,5,5,5
4,5,4,5,4,4,5,5,3,4,4,5,4,4,5,4,4,5,4,5,4,3,4,5,4,4,5,4,5,5,5,4,4,5,5,5,4,5,5,5
2,5,4,5,5,4,5,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,4,5,4,5,5,4,5,5,5,4,5,4
4,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5,4,5,5,4,5,5,5,4,5,4,5,5,5,5,4,5,5,4,5
2,5,4,5,4,5,5,4,5,4,5,4,5,4,5,5,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,5
2,5,4,5,5,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4
4,5,4,4,5,4,5,4,4,5,4,5,4,5,4,5,4,5,4,4,5,4,5,5,5,5,5,4,5,5,4,5,5,5,5,5,5,4,5,4
2,5,4,5,5,4,5,4,5,5,4,5,5,4,5,5,4,5,5,5,5,4,5,5,4,5,5,4,5,5,4,5,5,4,5,4,5,4,5,5
1,3,3,2,3,3,2,3,3,3,3,4,3,2,3,3,4,4,3,3,4,3,3,3,4,3,3,3,4,4,3,4,3,3,3,3,4,3,4,4
